created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,barrio
2017-08-31,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5684721,-58.431249300000005,520000.0,97.0,97.0,5360.824742268042,,3.0,10000.0,https://www.properati.com.ar/1e3oo_venta_departamento_palermo_baulera_suite_gimnasio_jardin_lavadero_piscina_sum_garage_impecable_aire-acondicionado_losa-radiante_tovado-propiedades_dk1,PALERMO
2017-08-31,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.582567700000006,-58.43299820000001,198000.0,64.0,48.0,3093.75,,2.0,,https://www.properati.com.ar/1e4f0_venta_departamento_palermo-hollywood_balcon_terraza_luminoso_amenities_aire-acondicionado_arkis-inmobiliaria_eoh,PALERMO
2017-08-31,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5893559,-58.416934999999995,170000.0,40.0,38.0,4250.0,,1.0,,https://www.properati.com.ar/1e4fi_venta_departamento_palermo_balcon_garage_subte-linea-d_bienvende-amelia-claro_ej0,PALERMO
2017-09-01,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,-34.57548904,-58.41962433,510000.0,239.0,127.0,2133.8912133891213,,2.0,,https://www.properati.com.ar/1e66w_venta_departamento_barrio-norte_de-maria_4300_baulera_patio_subte-linea-d_apto-credito-hipotecario_grupo-zeta-inmobiliaria,PALERMO
2017-09-01,house,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.57826970000001,-58.3993206,1750000.0,300.0,,5833.333333333332,,5.0,,https://www.properati.com.ar/1e6c0_venta_casa_palermo-chico_balcon_jardin_lavadero_patio_piscina_quincho_terraza_toilette_vista_dependencias_garage_doble-circulacion_monica-frettes,PALERMO
2017-09-01,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,-34.5672629609,-58.4318401926,640000.0,200.0,185.0,3200.0,,4.0,18000.0,https://www.properati.com.ar/1e6hy_venta_departamento_nunez_san-benito-de-palermo_1500_balcon_baulera_suite_lavadero_toilette_vestidor_lujoso_dependencias_garage_aire-acondicionado_filippo-propiedades_9im,PALERMO
2017-09-01,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5670278,-58.435399200000006,590000.0,168.0,157.0,3511.904761904762,,4.0,20000.0,https://www.properati.com.ar/1e6s5_venta_departamento_belgrano_soldado-de-la-independencia_900_balcon_baulera_suite_lavadero_toilette_vestidor_luminoso_lujoso_garage_impecable_aire-acondicionado_shenk-inmobiliaria_gkj,PALERMO
2017-09-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5914774208,-58.418185265,90000.0,27.0,27.0,3333.333333333333,,1.0,1140.0,https://www.properati.com.ar/1e6su_venta_departamento_palermo_luminoso_placard_shenk-inmobiliaria_gkj,PALERMO
2017-09-01,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4563.106796116505,,4.0,10000.0,https://www.properati.com.ar/1e7yu_venta_departamento_belgrano_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO
2017-09-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4563.106796116505,,4.0,10000.0,https://www.properati.com.ar/1e7zd_venta_departamento_palermo_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO
2017-09-01,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4563.106796116505,,4.0,10000.0,https://www.properati.com.ar/1e7zf_venta_departamento_nunez_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO
2017-09-02,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,-34.5708701,-58.4331449,440000.0,80.0,76.0,5500.0,,3.0,,https://www.properati.com.ar/1e9gr_venta_departamento_las-canitas_balcon_baulera_suite_gimnasio_lavadero_parrilla_patio_piscina_quincho_sum_sauna_lujoso_garage_amenities_subte-linea-d_l-e-group,PALERMO
2017-09-02,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,-34.5708701,-58.4331449,550000.0,98.0,95.0,5612.2448979591845,,4.0,,https://www.properati.com.ar/1e9i0_venta_departamento_las-canitas_gimnasio_patio_piscina_sauna_lujoso_garage_amenities_subte-linea-d_l-e-group,PALERMO
2017-09-02,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.5821848,-58.40154029999999,1050000.0,243.0,227.0,4320.987654320988,,7.0,,https://www.properati.com.ar/1e9ih_venta_departamento_palermo-chico_balcon_lavadero_piscina_toilette_lujoso_dependencias_electrogeno_placard_subte-linea-h_l-e-group,PALERMO
2017-09-02,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5664346,-58.434098999999996,820000.0,181.0,171.0,4530.386740331492,,4.0,,https://www.properati.com.ar/1e9ik_venta_departamento_belgrano_balcon_suite_gimnasio_lavadero_parrilla_piscina_quincho_toilette_lujoso_dependencias_garage_l-e-group,PALERMO
2017-09-02,house,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5667748,-58.445677100000005,1320000.0,,440.0,,,,,https://www.properati.com.ar/1e9iq_venta_casa_belgrano_suite_gimnasio_hidromasaje_jardin_lavadero_parrilla_piscina_quincho_terraza_toilette_vestidor_vista_sauna_garage_placard_aire-acondicionado_subte-linea-d_l-e-group,PALERMO
2017-09-02,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.581686499999996,-58.4308266,465000.0,82.0,78.0,5670.7317073170725,,3.0,,https://www.properati.com.ar/1e9j0_venta_departamento_palermo-hollywood_balcon_baulera_suite_gimnasio_hidromasaje_lavadero_piscina_sauna_lujoso_garage_tenis_l-e-group,PALERMO
2017-09-02,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5865906,-58.4372126,150000.0,44.0,44.0,3409.090909090909,,1.0,,https://www.properati.com.ar/1e9j1_venta_departamento_palermo-hollywood_baulera_gimnasio_hidromasaje_lavadero_luminoso_l-e-group,PALERMO
2017-09-02,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5925314,-58.41786260000001,620000.0,230.0,198.0,2695.6521739130435,,6.0,,https://www.properati.com.ar/1e9ob_venta_departamento_palermo_balcon_suite_lavadero_toilette_luminoso_lujoso_garage_subte-linea-d_fabian-achaval-propiedades,PALERMO
2017-09-02,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5747031,-58.4378511,368000.0,87.0,77.0,4229.885057471264,,3.0,,https://www.properati.com.ar/1e9ou_venta_departamento_palermo_balcon_suite_hidromasaje_lavadero_parrilla_piscina_quincho_sum_terraza_vestidor_sauna_lujoso_amenities_subte-linea-d_ew-group,PALERMO
2017-09-03,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5874885,-58.415780000000005,345000.0,119.0,116.0,2899.1596638655465,,,,https://www.properati.com.ar/1ea4p_venta_departamento_palermo_alvarez-julian_2481_balcon_baulera_suite_lavadero_toilette_luminoso_impecable_subte-linea-d_a-sourigues-propiedades,PALERMO
2017-09-03,PH,Palermo,|Argentina|Capital Federal|Palermo|,-34.593396500000004,-58.4284618,154000.0,58.0,58.0,2655.1724137931037,,2.0,,https://www.properati.com.ar/1ea8c_venta_ph_palermo_parrilla_patio_apto-credito-hipotecario_migliorisi-propiedades_dkd,PALERMO
2017-09-03,PH,Palermo,|Argentina|Capital Federal|Palermo|,-34.593396500000004,-58.4284618,154000.0,58.0,58.0,2655.1724137931037,,3.0,,https://www.properati.com.ar/1ea8d_venta_ph_palermo_parrilla_patio_apto-credito-hipotecario_migliorisi-propiedades_dkd,PALERMO
2017-09-04,house,Palermo,|Argentina|Capital Federal|Palermo|,-34.567097,-58.436085999999996,594900.0,208.0,190.0,2860.0961538461543,,6.0,,https://www.properati.com.ar/1eado_venta_casa_palermo_balcon_baulera_suite_lavadero_terraza_luminoso_placard_re-max-liberty-ii,PALERMO
2017-09-04,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.573397299999996,-58.421746999999996,500000.0,110.0,105.0,4545.454545454545,,3.0,,https://www.properati.com.ar/1eaqw_venta_departamento_palermo_suite_toilette_garage_subte-linea-d_grinspon,PALERMO
2017-09-04,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.576792,-58.421960999999996,310000.0,85.0,77.0,3647.058823529412,,4.0,,https://www.properati.com.ar/1eb2v_venta_departamento_palermo-chico_santamaria-de-oro-fray-j_3000_suite_lavadero_patio_terraza_toilette_vestidor_luminoso_aire-acondicionado_de-giovanni-propiedades_ar1,PALERMO
2017-09-05,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5830704,-58.424189600000005,483000.0,214.0,202.0,2257.009345794393,,,,https://www.properati.com.ar/1eb46_venta_departamento_palermo-hollywood_balcon_dependencias_impecable_doble-circulacion_abiti-proyectos-inmobiliarios_h8k,PALERMO
2017-09-05,apartment,Palermo Soho,|Argentina|Capital Federal|Palermo|Palermo Soho|,-34.5824159,-58.420049,680000.0,215.0,200.0,3162.7906976744184,,,,https://www.properati.com.ar/1eb4g_venta_departamento_palermo-soho_suite_lavadero_toilette_vestidor_luminoso_dependencias_subte-linea-d_abiti-proyectos-inmobiliarios_h8k,PALERMO
2017-09-05,PH,Palermo,|Argentina|Capital Federal|Palermo|,-34.5834612,-58.422783200000005,379000.0,115.0,99.0,3295.652173913043,,3.0,,https://www.properati.com.ar/1eb7c_venta_ph_palermo_lavadero_parrilla_terraza_luminoso_lujoso_placard_subte-linea-d_apto-credito-hipotecario_lugaren,PALERMO
2017-09-05,PH,Palermo,|Argentina|Capital Federal|Palermo|,-34.5960323,-58.42135749999999,270000.0,106.0,80.0,2547.169811320755,,4.0,,https://www.properati.com.ar/1eb7e_venta_ph_palermo_patio_luminoso_garage_placard_lugaren,PALERMO
2017-09-05,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5735693694,-58.438418622700006,260000.0,126.0,119.0,2063.492063492064,,5.0,8232.0,https://www.properati.com.ar/1ebp1_venta_departamento_belgrano_cabildo-av-_200_balcon_lavadero_luminoso_garage_subte-linea-d_cabildo-500,PALERMO
2017-09-05,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5735693694,-58.438418622700006,260000.0,126.0,119.0,2063.492063492064,,4.0,8232.0,https://www.properati.com.ar/1ebp2_venta_departamento_belgrano_cabildo-av-_200_balcon_lavadero_luminoso_dependencias_garage_subte-linea-d_cabildo-500,PALERMO
2017-09-05,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,-34.567422799999996,-58.4347627,65000.0,22.0,20.0,2954.5454545454545,,1.0,1300.0,https://www.properati.com.ar/1ebsf_venta_departamento_las-canitas_soldado-de-la-independecia_800_balcon_aire-acondicionado_bg-propiedades,PALERMO
2017-09-06,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5864539382,-58.437292299700005,175000.0,62.0,58.0,2822.5806451612902,,,,https://www.properati.com.ar/1ec6r_venta_departamento_palermo-hollywood_humboldt_1500_suite_piscina_toilette_vestidor_garage_coty-jaureguiberry-cartana,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5830022,-58.42195039999999,95000.0,32.0,32.0,2968.75,,2.0,,https://www.properati.com.ar/1ecdm_venta_departamento_palermo_jardin_subte-linea-d_apto-credito-hipotecario_bryan-real-estate,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.576483,-58.429426,95900.0,,22.0,,,1.0,,https://www.properati.com.ar/1echf_venta_departamento_palermo_lavadero_subte-linea-d_palermo-nuevo,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.593877899999995,-58.429593999999994,250000.0,88.0,78.0,2840.909090909091,,2.0,5300.0,https://www.properati.com.ar/1ed02_venta_departamento_palermo_scalabrini-ortiz-raul-av-_1100_balcon_gimnasio_lavadero_parrilla_piscina_luminoso_vista_garage_le-bleu,PALERMO
2017-09-06,apartment,Palermo Viejo,|Argentina|Capital Federal|Palermo|Palermo Viejo|,-34.5881316,-58.414559999999994,210000.0,,75.0,,,4.0,2500.0,https://www.properati.com.ar/1ed95_venta_departamento_palermo-viejo_suite_lavadero_patio_jorge-ruschin,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5898158,-58.4117289,339000.0,54.0,50.0,6277.777777777777,,2.0,5000.0,https://www.properati.com.ar/1edav_venta_departamento_palermo_guemes_3300_balcon_baulera_suite_lavadero_toilette_garage_amenities_subte-linea-d_arana-parera-propiedades_h3y,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.57766029999999,-58.412639799999994,159000.0,32.0,30.0,4968.75,,1.0,,https://www.properati.com.ar/1edc7_venta_departamento_palermo_lafinur_3300_suite_luminoso_amoblado_amenities_epico,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5830391,-58.4143557,584000.0,208.0,177.0,2807.6923076923076,,4.0,16000.0,https://www.properati.com.ar/1edcg_venta_departamento_palermo_juncal_3700_suite_lavadero_patio_toilette_dependencias_garage_subte-linea-d_epico,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.581983,-58.412628000000005,490000.0,135.0,127.0,3629.6296296296296,,5.0,9500.0,https://www.properati.com.ar/1edch_venta_departamento_palermo_las-heras-general-av-_3800_baulera_lavadero_toilette_luminoso_sauna_lujoso_dependencias_garage_aire-acondicionado_subte-linea-d_epico,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.56751,-58.430292,940000.0,295.0,270.0,3186.4406779661017,,6.0,20000.0,https://www.properati.com.ar/1eddq_venta_departamento_palermo_del-libertador-av-_4400_balcon_baulera_suite_lavadero_toilette_luminoso_dependencias_garage_federico-galceran-propiedades,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5784679,-58.4236711,175000.0,62.0,55.0,2822.5806451612902,,2.0,7149.0,https://www.properati.com.ar/1edgt_venta_departamento_palermo_balcon_suite_lavadero_piscina_toilette_sauna_maure-propiedades,PALERMO
2017-09-06,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.5768852,-58.40190450000001,1800000.0,340.0,300.0,5294.117647058823,,5.0,40000.0,https://www.properati.com.ar/1edin_venta_departamento_palermo-chico_coronado-martin_3200_balcon_suite_gimnasio_lavadero_piscina_toilette_sauna_garage_arana-parera-propiedades_h3y,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5813361657,-58.4036776624,1650000.0,313.0,274.0,5271.5654952076675,,5.0,27000.0,https://www.properati.com.ar/1edl8_venta_departamento_palermo_balcon_baulera_suite_lavadero_toilette_lujoso_dependencias_garage_doble-circulacion_korn-emprendimientos,PALERMO
2017-09-06,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5830713,-58.4341125,390000.0,106.0,74.0,3679.2452830188677,,2.0,,https://www.properati.com.ar/1edlr_venta_departamento_palermo-hollywood_costa-rica_5550_suite_hidromasaje_parrilla_terraza_toilette_vestidor_garage_amenities_yes-propiedades-com_aye,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5731747306,-58.4225066042,650000.0,210.0,195.0,3095.238095238096,,4.0,17000.0,https://www.properati.com.ar/1edna_venta_departamento_palermo_sinclair_3100_balcon_baulera_suite_gimnasio_parrilla_piscina_toilette_vestidor_sauna_dependencias_garage_losa-radiante_subte-linea-d_oslo-propiedades,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5882528,-58.421777399999996,207000.0,74.0,68.0,2797.2972972972966,,2.0,2300.0,https://www.properati.com.ar/1ee3x_venta_departamento_palermo_guatemala_4400_balcon_suite_toilette_vestidor_luminoso_aire-acondicionado_subte-linea-d_yes-propiedades-com_aye,PALERMO
2017-09-06,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.579581299999994,-58.43614920000001,120000.0,25.0,25.0,4800.0,,1.0,2500.0,https://www.properati.com.ar/1efcx_venta_departamento_palermo-hollywood_nicaragua_5800_baulera_gimnasio_lavadero_parrilla_terraza_luminoso_lujoso_amoblado_subte-linea-d_soldati-propiedades,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.579614,-58.42835,165000.0,38.0,34.0,4342.105263157895,,1.0,,https://www.properati.com.ar/1efe9_venta_departamento_palermo_balcon_gimnasio_hidromasaje_lavadero_parrilla_piscina_terraza_luminoso_amoblado_aire-acondicionado_soldati-propiedades,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5818791,-58.4208003,480000.0,,230.0,,,,9500.0,https://www.properati.com.ar/1efgd_venta_departamento_palermo_borges-jorge-luis_2500_suite_lavadero_toilette_luminoso_dependencias_subte-linea-d_propiet_gp8,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5663056027,-58.4344428804,1200000.0,230.0,180.0,5217.391304347826,,4.0,,https://www.properati.com.ar/1efgr_venta_departamento_palermo_migueletes_800_suite_gimnasio_lavadero_parrilla_piscina_sum_toilette_luminoso_lujoso_dependencias_amenities_propiet_gp8,PALERMO
2017-09-06,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.570838,-58.43458760000001,530000.0,117.0,103.0,4529.914529914529,,4.0,6696.0,https://www.properati.com.ar/1efj0_venta_departamento_palermo_balcon_baulera_suite_terraza_toilette_vestidor_luminoso_dependencias_garage_placard_covello-propiedades_9ij,PALERMO
2017-09-06,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5629596,-58.4381931,1900000.0,300.0,190.0,6333.333333333332,,4.0,13000.0,https://www.properati.com.ar/1efk0_venta_departamento_belgrano_del-libertador-av-_5150_balcon_baulera_suite_toilette_dependencias_garage_yes-propiedades-com_aye,PALERMO
2017-09-07,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,-34.5671607,-58.433129599999994,443000.0,145.0,124.0,3055.1724137931037,,4.0,,https://www.properati.com.ar/1egut_venta_departamento_las-canitas_balcon_baulera_suite_lavadero_toilette_vista_lujoso_dependencias_garage_doble-circulacion_home54,PALERMO
2017-09-07,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5740648883,-58.4224597508,525000.0,164.0,134.0,3201.2195121951213,,4.0,,https://www.properati.com.ar/1eh47_venta_departamento_palermo_balcon_baulera_suite_lujoso_dependencias_electrogeno_garage_subte-linea-d_otero-propiedades_f34,PALERMO
2017-09-07,house,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.566866999999995,-58.444196999999996,1650000.0,456.0,455.0,3626.3736263736255,,5.0,,https://www.properati.com.ar/1ehbq_venta_casa_belgrano_suite_gimnasio_hidromasaje_jardin_lavadero_parrilla_patio_quincho_terraza_toilette_vestidor_luminoso_lujoso_garage_impecable_subte-linea-d_re-max-win,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5667468,-58.4404142,539000.0,181.0,168.0,2977.9005524861877,,4.0,14000.0,https://www.properati.com.ar/1ehsk_venta_departamento_palermo_olleros-av-_1900_balcon_baulera_suite_lavadero_toilette_lujoso_dependencias_placard_subte-linea-d_sol-real-estate,PALERMO
2017-09-08,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.576788,-58.412016099999995,155000.0,34.0,34.0,4558.823529411765,,,,https://www.properati.com.ar/1ei2o_venta_departamento_palermo-chico_suite_luminoso_lujoso_toribio-achaval_e6q,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.596052,-58.421431000000005,141713.14,43.0,36.0,3295.654418604652,,2.0,,https://www.properati.com.ar/1ei3e_venta_departamento_palermo_toilette_luminoso_garage_estrenar_toribio-achaval_e6w,PALERMO
2017-09-08,house,Palermo,|Argentina|Capital Federal|Palermo|,-34.5946512,-58.4250861,1080000.0,629.0,395.0,1717.0111287758343,,,,https://www.properati.com.ar/1ei47_venta_casa_palermo_hidromasaje_jardin_luminoso_sauna_dependencias_garage_aire-acondicionado_toribio-achaval_e6y,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.57197,-58.421396400000006,1800000.0,410.0,410.0,4390.243902439024,,9.0,,https://www.properati.com.ar/1ei4x_venta_departamento_palermo_luminoso_garage_toribio-achaval_e6q,PALERMO
2017-09-08,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,-34.5742679,-58.4326958,640000.0,177.0,125.0,3615.819209039548,,5.0,,https://www.properati.com.ar/1ei4y_venta_departamento_las-canitas_balcon_baulera_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_sum_toilette_vestidor_luminoso_garage_placard_subte-linea-d_toribio-achaval_e6q,PALERMO
2017-09-08,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.5808632,-58.4041894,890000.0,175.0,175.0,5085.714285714285,,6.0,,https://www.properati.com.ar/1ei5c_venta_departamento_palermo-chico_suite_toilette_luminoso_garage_toribio-achaval_e6q,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5740097,-58.42021510000001,995000.0,292.0,292.0,3407.5342465753424,,8.0,,https://www.properati.com.ar/1ei66_venta_departamento_palermo_suite_luminoso_garage_impecable_subte-linea-d_toribio-achaval_e6q,PALERMO
2017-09-08,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,-34.591814500000005,-58.4152368,83500.0,35.0,35.0,2385.714285714286,,2.0,,https://www.properati.com.ar/1ei8d_venta_departamento_palermo-chico_subte-linea-d_bienvende-amelia-claro_e77,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5751514695,-58.4321800763,165000.0,68.0,68.0,2426.4705882352937,,3.0,,https://www.properati.com.ar/1ei8q_venta_departamento_palermo_patio_garage_placard_subte-linea-d_fortunato-suppa-negocios-inmobiliarios_evn,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5791124,-58.4116461,850000.0,195.0,195.0,4358.974358974359,,5.0,,https://www.properati.com.ar/1eiif_venta_departamento_palermo_balcon_baulera_lavadero_sum_toilette_vestidor_luminoso_dependencias_garage_estrenar_losa-radiante_subte-linea-d_rosa-cohen-broker-inmobiliario,PALERMO
2017-09-08,apartment,Colegiales,|Argentina|Capital Federal|Colegiales|,-34.574359,-58.442159,370000.0,130.0,130.0,2846.1538461538457,,5.0,,https://www.properati.com.ar/1eiry_venta_departamento_colegiales_balcon_lavadero_toilette_luminoso_dependencias_subte-linea-d_re-max-data-house,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5779465,-58.4239113,550000.0,101.0,80.0,5445.544554455446,,3.0,8000.0,https://www.properati.com.ar/1ejcw_venta_departamento_palermo_beruti_4500_balcon_suite_lavadero_piscina_sum_terraza_toilette_luminoso_lujoso_electrogeno_garage_placard_subte-linea-d_oslo-propiedades,PALERMO
2017-09-08,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5811363,-58.44041070000001,150000.0,46.0,43.0,3260.8695652173915,,,,https://www.properati.com.ar/1ejk1_venta_departamento_palermo_balcon_lavadero_parrilla_piscina_sum_terraza_garage_amenities_estilo-inmobiliario_dl8,PALERMO
